order_id,user_id,total_amount,order_date
1,48,5285.57,2026-01-24 00:00:00
2,31,78.6,2026-01-20 00:00:00
3,11,3148.48,2026-01-06 00:00:00
4,6,2122.3,2026-01-01 00:00:00
5,1,773.48,2026-01-03 00:00:00
6,63,2838.84,2026-01-14 00:00:00
7,24,727.15,2026-01-19 00:00:00
8,58,1262.53,2026-01-23 00:00:00
9,57,1946.99,2026-01-21 00:00:00
10,22,0.0,2026-01-02 00:00:00
11,17,1576.92,2026-01-19 00:00:00
12,68,1049.09,2026-01-01 00:00:00
13,20,1295.22,2026-01-07 00:00:00
14,51,1546.89,2026-01-31 00:00:00
15,60,2296.52,2026-01-29 00:00:00
16,31,0.0,2026-01-10 00:00:00
17,81,0.0,2026-01-12 00:00:00
18,23,1207.01,2026-01-24 00:00:00
19,31,318.42,2026-01-06 00:00:00
20,59,656.73,2026-01-08 00:00:00
21,6,3756.41,2026-01-21 00:00:00
22,79,318.42,2026-01-25 00:00:00
23,67,2535.17,2026-01-31 00:00:00
24,27,1359.96,2026-01-18 00:00:00
25,12,0.0,2026-01-21 00:00:00
26,89,223.75,2026-01-31 00:00:00
27,2,248.77,2026-01-19 00:00:00
28,72,519.73,2026-01-21 00:00:00
29,53,0.0,2026-01-07 00:00:00
30,33,1830.61,2026-01-13 00:00:00
31,4,476.98,2026-01-25 00:00:00
32,73,0.0,2026-01-17 00:00:00
33,43,204.39,2026-01-07 00:00:00
34,53,715.47,2026-01-12 00:00:00
35,13,6651.33,2026-01-06 00:00:00
36,81,1058.1,2026-01-23 00:00:00
37,46,2121.81,2026-01-09 00:00:00
38,62,424.56,2026-01-10 00:00:00
39,14,2008.87,2026-01-30 00:00:00
40,15,1825.19,2026-01-22 00:00:00
41,79,2587.4,2026-01-20 00:00:00
42,3,0.0,2026-01-04 00:00:00
43,88,476.98,2026-01-05 00:00:00
44,14,1430.94,2026-01-20 00:00:00
45,53,1064.71,2026-01-16 00:00:00
46,83,582.2,2026-01-22 00:00:00
47,62,424.56,2026-01-24 00:00:00
48,2,3694.65,2026-01-09 00:00:00
49,8,1836.51,2026-01-09 00:00:00
50,33,168.48,2026-01-01 00:00:00
51,67,673.92,2026-01-29 00:00:00
52,14,4096.46,2026-01-19 00:00:00
53,39,110.22,2026-01-16 00:00:00
54,60,2907.94,2026-01-15 00:00:00
55,39,0.0,2026-01-27 00:00:00
56,19,1544.43,2026-01-06 00:00:00
57,55,2813.26,2026-01-08 00:00:00
58,70,1879.95,2026-01-12 00:00:00
59,68,715.61,2026-01-26 00:00:00
60,67,223.77,2026-01-14 00:00:00
61,75,0.0,2026-01-21 00:00:00
62,56,0.0,2026-01-24 00:00:00
63,6,1399.0,2026-01-24 00:00:00
64,57,948.32,2026-01-22 00:00:00
65,47,1021.53,2026-01-21 00:00:00
66,49,0.0,2026-01-08 00:00:00
67,67,883.32,2026-01-13 00:00:00
68,13,4053.62,2026-01-27 00:00:00
69,56,0.0,2026-01-15 00:00:00
70,2,0.0,2026-01-10 00:00:00
71,37,610.49,2026-01-31 00:00:00
72,46,218.91,2026-01-30 00:00:00
73,16,110.22,2026-01-05 00:00:00
74,74,1327.17,2026-01-12 00:00:00
75,62,0.0,2026-01-16 00:00:00
76,82,714.01,2026-01-25 00:00:00
77,3,61.49,2026-01-18 00:00:00
78,5,2326.86,2026-01-05 00:00:00
79,40,3908.4,2026-01-11 00:00:00
80,22,209.58,2026-01-26 00:00:00
81,67,412.67,2026-01-09 00:00:00
82,16,291.1,2026-01-07 00:00:00
83,71,2801.73,2026-01-23 00:00:00
84,17,1397.26,2026-01-22 00:00:00
85,90,530.31,2026-01-25 00:00:00
86,2,1888.18,2026-01-17 00:00:00
87,43,2960.37,2026-01-02 00:00:00
88,40,182.51,2026-01-23 00:00:00
89,12,992.88,2026-01-01 00:00:00
90,28,3644.23,2026-01-15 00:00:00
91,87,106.14,2026-01-17 00:00:00
92,84,3180.89,2026-01-18 00:00:00
93,22,2603.99,2026-01-03 00:00:00
94,56,671.25,2026-01-29 00:00:00
95,11,505.44,2026-01-01 00:00:00
96,14,3194.23,2026-01-11 00:00:00
97,39,0.0,2026-01-11 00:00:00
98,4,0.0,2026-01-14 00:00:00
